snapshot,SlackGen,Gen_A,Gen_B,Gen_C
2023-01-01 00:00:00,178.15867408621594,0.05,0.075,0.1
2023-01-01 00:15:00,180.83802765008397,0.05,0.075,0.1
2023-01-01 00:30:00,179.6008637401169,0.05,0.075,0.1
2023-01-01 00:45:00,179.49284948285418,0.05,0.075,0.1
2023-01-01 01:00:00,177.60560176033363,0.05,0.075,0.1
2023-01-01 01:15:00,179.9809139727214,0.05,0.075,0.1
2023-01-01 01:30:00,175.68035174617415,0.05,0.075,0.1
2023-01-01 01:45:00,174.38518508736604,0.05,0.075,0.1
2023-01-01 02:00:00,169.21853252077617,0.05,0.075,0.1
2023-01-01 02:15:00,170.64571081780383,0.05,0.075,0.1
2023-01-01 02:30:00,169.10651859024162,0.05,0.075,0.1
2023-01-01 02:45:00,168.07739103497244,0.05,0.075,0.1
2023-01-01 03:00:00,163.066781112513,0.05,0.075,0.1
2023-01-01 03:15:00,161.59760577280173,0.05,0.075,0.1
2023-01-01 03:30:00,163.92688449813764,0.05,0.075,0.1
2023-01-01 03:45:00,164.23692189834446,0.05,0.075,0.1
2023-01-01 04:00:00,160.51347740370738,0.05,0.075,0.1
2023-01-01 04:15:00,160.7085004322252,0.05,0.075,0.1
2023-01-01 04:30:00,160.00041695447436,0.05,0.075,0.1
2023-01-01 04:45:00,160.2334443859958,0.05,0.075,0.1
2023-01-01 05:00:00,158.5942522703588,0.05,0.075,0.1
2023-01-01 05:15:00,157.16208603441618,0.05,0.075,0.1
2023-01-01 05:30:00,163.85587594222577,0.05,0.075,0.1
2023-01-01 05:45:00,163.5138347811503,0.05,0.075,0.1
2023-01-01 06:00:00,163.99189233426551,0.05,0.075,0.1
2023-01-01 06:15:00,165.23304253963593,0.05,0.075,0.1
2023-01-01 06:30:00,167.3182974477663,0.05,0.075,0.1
2023-01-01 06:45:00,187.8739812180464,0.05,0.075,0.1
2023-01-01 07:00:00,220.44186893928824,0.05,0.075,0.1
2023-01-01 07:15:00,253.0475430655991,0.05,0.075,0.1
2023-01-01 07:30:00,253.54063487112535,0.05,0.075,0.1
2023-01-01 07:45:00,256.0261003436208,0.05,0.075,0.1
2023-01-01 08:00:00,257.3353473619047,0.05,0.075,0.1
2023-01-01 08:15:00,255.99009356794582,0.05,0.075,0.1
2023-01-01 08:30:00,263.81458835448626,0.05,0.075,0.1
2023-01-01 08:45:00,266.2790684837933,0.05,0.075,0.1
2023-01-01 09:00:00,271.3980800313224,0.05,0.075,0.1
2023-01-01 09:15:00,277.88939044447386,0.05,0.075,0.1
2023-01-01 09:30:00,281.14105850517365,0.05,0.075,0.1
2023-01-01 09:45:00,288.1145174131493,0.05,0.075,0.1
2023-01-01 10:00:00,308.8970772529166,0.05,0.075,0.1
2023-01-01 10:15:00,344.6766711578677,0.05,0.075,0.1
2023-01-01 10:30:00,378.3246114594717,0.05,0.075,0.1
2023-01-01 10:45:00,392.0534982513233,0.05,0.075,0.1
2023-01-01 11:00:00,397.2970193037984,0.05,0.075,0.1
2023-01-01 11:15:00,408.3752993620268,0.05,0.075,0.1
2023-01-01 11:30:00,414.6722039557238,0.05,0.075,0.1
2023-01-01 11:45:00,417.8221676449086,0.05,0.075,0.1
2023-01-01 12:00:00,416.9338951515715,0.05,0.075,0.1
2023-01-01 12:15:00,417.03392580877426,0.05,0.075,0.1
2023-01-01 12:30:00,422.4736040246089,0.05,0.075,0.1
2023-01-01 12:45:00,425.5735701351856,0.05,0.075,0.1
2023-01-01 13:00:00,420.7680755051281,0.05,0.075,0.1
2023-01-01 13:15:00,424.15212626259716,0.05,0.075,0.1
2023-01-01 13:30:00,423.3248686194542,0.05,0.075,0.1
2023-01-01 13:45:00,423.23684123359635,0.05,0.075,0.1
2023-01-01 14:00:00,425.9586906519843,0.05,0.075,0.1
2023-01-01 14:15:00,426.5428736700371,0.05,0.075,0.1
2023-01-01 14:30:00,428.2914229700534,0.05,0.075,0.1
2023-01-01 14:45:00,428.6965505599587,0.05,0.075,0.1
2023-01-01 15:00:00,430.1950235336741,0.05,0.075,0.1
2023-01-01 15:15:00,428.948630010134,0.05,0.075,0.1
2023-01-01 15:30:00,427.1310581951269,0.05,0.075,0.1
2023-01-01 15:45:00,433.13595690430077,0.05,0.075,0.1
2023-01-01 16:00:00,435.5027124245212,0.05,0.075,0.1
2023-01-01 16:15:00,441.10751802079005,0.05,0.075,0.1
2023-01-01 16:30:00,446.1031468311951,0.05,0.075,0.1
2023-01-01 16:45:00,450.18949281136355,0.05,0.075,0.1
2023-01-01 17:00:00,458.1621542175882,0.05,0.075,0.1
2023-01-01 17:15:00,467.27925491785265,0.05,0.075,0.1
2023-01-01 17:30:00,467.8534522458483,0.05,0.075,0.1
2023-01-01 17:45:00,473.23731424657296,0.05,0.075,0.1
2023-01-01 18:00:00,469.89015413077664,0.05,0.075,0.1
2023-01-01 18:15:00,463.3479103862028,0.05,0.075,0.1
2023-01-01 18:30:00,462.74270441295926,0.05,0.075,0.1
2023-01-01 18:45:00,467.0341707663091,0.05,0.075,0.1
2023-01-01 19:00:00,472.8701865991345,0.05,0.075,0.1
2023-01-01 19:15:00,474.01358447591696,0.05,0.075,0.1
2023-01-01 19:30:00,470.60540134150904,0.05,0.075,0.1
2023-01-01 19:45:00,462.10548783632,0.05,0.075,0.1
2023-01-01 20:00:00,457.98809561508654,0.05,0.075,0.1
2023-01-01 20:15:00,456.7496793047435,0.05,0.075,0.1
2023-01-01 20:30:00,447.4795988427327,0.05,0.075,0.1
2023-01-01 20:45:00,437.296287715281,0.05,0.075,0.1
2023-01-01 21:00:00,426.8799793956497,0.05,0.075,0.1
2023-01-01 21:15:00,425.5745704480719,0.05,0.075,0.1
2023-01-01 21:30:00,430.81922104049045,0.05,0.075,0.1
2023-01-01 21:45:00,425.07441409514365,0.05,0.075,0.1
2023-01-01 22:00:00,428.26341415348253,0.05,0.075,0.1
2023-01-01 22:15:00,419.9518233163992,0.05,0.075,0.1
2023-01-01 22:30:00,381.6195316527524,0.05,0.075,0.1
2023-01-01 22:45:00,356.1586284077922,0.05,0.075,0.1
2023-01-01 23:00:00,315.8306691424564,0.05,0.075,0.1
2023-01-01 23:15:00,258.52557301722607,0.05,0.075,0.1
2023-01-01 23:30:00,249.14082201425842,0.05,0.075,0.1
2023-01-01 23:45:00,260.8000071233106,0.05,0.075,0.1
